model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,mean_rmse
additive,robust,0.4,0.25,2,5,2,0.0327698489
additive,robust,0.4,0.25,2.5,6.25,0,0.0332939388951
additive,robust,0.4,0.25,2.5,6.25,1,0.0342042151192
additive,robust,0.4,0.25,2.5,6.25,2,0.0343737105749
additive,robust,0.4,0.25,3,7.5,0,0.0343879241187
additive,robust,0.4,0.25,3,7.5,1,0.0351348340769
additive,robust,0.4,0.25,3,7.5,2,0.0357171433853
additive,robust,0.4,0.3,1,2.5,0,0.029411043004
additive,robust,0.4,0.3,1,2.5,1,0.0298185602099
additive,robust,0.4,0.3,1,2.5,2,0.0313578540242
additive,robust,0.4,0.3,1.5,3.75,0,0.032901640666
additive,robust,0.4,0.3,1.5,3.75,1,0.0337848416213
additive,robust,0.4,0.3,1.5,3.75,2,0.0354678936009
additive,robust,0.4,0.3,2,5,0,0.035115155348
additive,robust,0.4,0.3,2,5,1,0.0363797209017
additive,robust,0.4,0.3,2,5,2,0.0384192645998
additive,robust,0.4,0.3,2.5,6.25,0,0.0367029449096
additive,robust,0.4,0.3,2.5,6.25,1,0.0381747091607
additive,robust,0.4,0.3,2.5,6.25,2,0.0406494344457
additive,robust,0.4,0.3,3,7.5,0,0.0379219973386
additive,robust,0.4,0.3,3,7.5,1,0.0395259371073
additive,robust,0.4,0.3,3,7.5,2,0.0424509263785
additive,robust,0.6,0.1,1,1.66666666667,0,0.0344599839527
additive,robust,0.6,0.1,1,1.66666666667,1,0.0312177250712
additive,robust,0.6,0.1,1,1.66666666667,2,0.0298228261032
additive,robust,0.6,0.1,1.5,2.5,0,0.0363679105462
additive,robust,0.6,0.1,1.5,2.5,1,0.0333900957164
additive,robust,0.6,0.1,1.5,2.5,2,0.0310470198291
additive,robust,0.6,0.1,2,3.33333333333,0,0.0375524790408
additive,robust,0.6,0.1,2,3.33333333333,1,0.0349405669544
additive,robust,0.6,0.1,2,3.33333333333,2,0.0321044870302
additive,robust,0.6,0.1,2.5,4.16666666667,0,0.0383327453248
additive,robust,0.6,0.1,2.5,4.16666666667,1,0.0360246154067
additive,robust,0.6,0.1,2.5,4.16666666667,2,0.0328916960555
additive,robust,0.6,0.1,3,5,0,0.0389199398117
additive,robust,0.6,0.1,3,5,1,0.036771442047
additive,robust,0.6,0.1,3,5,2,0.0334867071101
additive,robust,0.6,0.15,1,1.66666666667,0,0.0347819960965
additive,robust,0.6,0.15,1,1.66666666667,1,0.0323440610396
additive,robust,0.6,0.15,1,1.66666666667,2,0.0326025395995
additive,robust,0.6,0.15,1.5,2.5,0,0.0370461806257
additive,robust,0.6,0.15,1.5,2.5,1,0.0353197899061
additive,robust,0.6,0.15,1.5,2.5,2,0.0354196152698
additive,robust,0.6,0.15,2,3.33333333333,0,0.0385334115586
additive,robust,0.6,0.15,2,3.33333333333,1,0.0373897612927
additive,robust,0.6,0.15,2,3.33333333333,2,0.0377670760782
additive,robust,0.6,0.15,2.5,4.16666666667,0,0.0395825792322
additive,robust,0.6,0.15,2.5,4.16666666667,1,0.0387946263066
additive,robust,0.6,0.15,2.5,4.16666666667,2,0.0395830642967
additive,robust,0.6,0.15,3,5,0,0.0404105526017
additive,robust,0.6,0.15,3,5,1,0.0397432771605
additive,robust,0.6,0.15,3,5,2,0.0410070376988
additive,robust,0.6,0.2,1,1.66666666667,0,0.0352243739662
additive,robust,0.6,0.2,1,1.66666666667,1,0.0362627121018
additive,robust,0.6,0.2,1,1.66666666667,2,0.0349464660224
additive,robust,0.6,0.2,1.5,2.5,0,0.0380397024393
additive,robust,0.6,0.2,1.5,2.5,1,0.0410781302213
additive,robust,0.6,0.2,1.5,2.5,2,0.0386942506339
additive,robust,0.6,0.2,2,3.33333333333,0,0.0401277787415
additive,robust,0.6,0.2,2,3.33333333333,1,0.0444583960165
additive,robust,0.6,0.2,2,3.33333333333,2,0.0416669615352
additive,robust,0.6,0.2,2.5,4.16666666667,0,0.0417363663411
additive,robust,0.6,0.2,2.5,4.16666666667,1,0.046801413389
additive,robust,0.6,0.2,2.5,4.16666666667,2,0.0439529138888
additive,robust,0.6,0.2,3,5,0,0.043065336338
additive,robust,0.6,0.2,3,5,1,0.0484433569744
additive,robust,0.6,0.2,3,5,2,0.0457296982352
additive,robust,0.6,0.25,1,1.66666666667,0,0.0367269133046
additive,robust,0.6,0.25,1,1.66666666667,1,0.0364608086653
additive,robust,0.6,0.25,1,1.66666666667,2,0.0370530676052
additive,robust,0.6,0.25,1.5,2.5,0,0.0404932154417
additive,robust,0.6,0.25,1.5,2.5,1,0.0413055676862
additive,robust,0.6,0.25,1.5,2.5,2,0.0413640843545
additive,robust,0.6,0.25,2,3.33333333333,0,0.0434037863745
additive,robust,0.6,0.25,2,3.33333333333,1,0.0447210018446
additive,robust,0.6,0.25,2,3.33333333333,2,0.0447167594991
additive,robust,0.6,0.25,2.5,4.16666666667,0,0.0456991469617
additive,robust,0.6,0.25,2.5,4.16666666667,1,0.0471699839354
additive,robust,0.6,0.25,2.5,4.16666666667,2,0.0472802531794
additive,robust,0.6,0.25,3,5,0,0.0475831030748
additive,robust,0.6,0.25,3,5,1,0.0489781068516
additive,robust,0.6,0.25,3,5,2,0.0492933395623
additive,robust,0.6,0.3,1,1.66666666667,0,0.0389499451459
additive,robust,0.6,0.3,1,1.66666666667,1,0.0387722794175
additive,robust,0.6,0.3,1,1.66666666667,2,0.0416367810078
additive,robust,0.6,0.3,1.5,2.5,0,0.0439492907821
additive,robust,0.6,0.3,1.5,2.5,1,0.0445004246117
additive,robust,0.6,0.3,1.5,2.5,2,0.0471423681109
additive,robust,0.6,0.3,2,3.33333333333,0,0.0476452272094
additive,robust,0.6,0.3,2,3.33333333333,1,0.0487262053414
additive,robust,0.6,0.3,2,3.33333333333,2,0.0515028515572
additive,robust,0.6,0.3,2.5,4.16666666667,0,0.0503352617311
additive,robust,0.6,0.3,2.5,4.16666666667,1,0.0518976619043
additive,robust,0.6,0.3,2.5,4.16666666667,2,0.0549792428168
additive,robust,0.6,0.3,3,5,0,0.0524086945563
additive,robust,0.6,0.3,3,5,1,0.0543246200526
additive,robust,0.6,0.3,3,5,2,0.0577842662843
additive,robust,0.8,0.1,1,1.25,0,0.0441669516599
additive,robust,0.8,0.1,1,1.25,1,0.0397263092602
additive,robust,0.8,0.1,1,1.25,2,0.0390490952771
additive,robust,0.8,0.1,1.5,1.875,0,0.0466638048874
additive,robust,0.8,0.1,1.5,1.875,1,0.0423700013819
additive,robust,0.8,0.1,1.5,1.875,2,0.0402019246444
additive,robust,0.8,0.1,2,2.5,0,0.0484379235126
additive,robust,0.8,0.1,2,2.5,1,0.0444321495554
additive,robust,0.8,0.1,2,2.5,2,0.041432551461
additive,robust,0.8,0.1,2.5,3.125,0,0.049685622351
additive,robust,0.8,0.1,2.5,3.125,1,0.0460276483602
additive,robust,0.8,0.1,2.5,3.125,2,0.0425258252999
additive,robust,0.8,0.1,3,3.75,0,0.0505889725197
additive,robust,0.8,0.1,3,3.75,1,0.0472499092192
additive,robust,0.8,0.1,3,3.75,2,0.0434090854843
additive,robust,0.8,0.15,1,1.25,0,0.0443682942079
additive,robust,0.8,0.15,1,1.25,1,0.0405948793383
additive,robust,0.8,0.15,1,1.25,2,0.0416238399211
additive,robust,0.8,0.15,1.5,1.875,0,0.0472375476211
additive,robust,0.8,0.15,1.5,1.875,1,0.0442046360998
additive,robust,0.8,0.15,1.5,1.875,2,0.0445015686594
additive,robust,0.8,0.15,2,2.5,0,0.0493741865622
additive,robust,0.8,0.15,2,2.5,1,0.0470279993212
additive,robust,0.8,0.15,2,2.5,2,0.0472968397912
additive,robust,0.8,0.15,2.5,3.125,0,0.0509362885333
additive,robust,0.8,0.15,2.5,3.125,1,0.0491626901802
additive,robust,0.8,0.15,2.5,3.125,2,0.0497206555977
additive,robust,0.8,0.15,3,3.75,0,0.0521211609943
additive,robust,0.8,0.15,3,3.75,1,0.0507570162198
additive,robust,0.8,0.15,3,3.75,2,0.051725804049
additive,robust,0.8,0.2,1,1.25,0,0.0447174553609
additive,robust,0.8,0.2,1,1.25,1,0.0442933301808
additive,robust,0.8,0.2,1,1.25,2,0.0438229628521
additive,robust,0.8,0.2,1.5,1.875,0,0.0480332248896
additive,robust,0.8,0.2,1.5,1.875,1,0.0500776572309
additive,robust,0.8,0.2,1.5,1.875,2,0.0479814493024
additive,robust,0.8,0.2,2,2.5,0,0.0507560621249
additive,robust,0.8,0.2,2,2.5,1,0.0546816629579
additive,robust,0.8,0.2,2,2.5,2,0.0516270125638
additive,robust,0.8,0.2,2.5,3.125,0,0.0529368323006
additive,robust,0.8,0.2,2.5,3.125,1,0.0581866384172
additive,robust,0.8,0.2,2.5,3.125,2,0.0546891708473
additive,robust,0.8,0.2,3,3.75,0,0.0547123751022
additive,robust,0.8,0.2,3,3.75,1,0.0608356269094
additive,robust,0.8,0.2,3,3.75,2,0.0572107428759
additive,robust,0.8,0.25,1,1.25,0,0.046051883299
additive,robust,0.8,0.25,1,1.25,1,0.044494994575
additive,robust,0.8,0.25,1,1.25,2,0.0460766693531
additive,robust,0.8,0.25,1.5,1.875,0,0.0503302227473
additive,robust,0.8,0.25,1.5,1.875,1,0.05032236257
additive,robust,0.8,0.25,1.5,1.875,2,0.0510340922703
additive,robust,0.8,0.25,2,2.5,0,0.0539542788211
additive,robust,0.8,0.25,2,2.5,1,0.0549523998227
additive,robust,0.8,0.25,2,2.5,2,0.0552282965181
additive,robust,0.8,0.25,2.5,3.125,0,0.0569427254231
additive,robust,0.8,0.25,2.5,3.125,1,0.058494171663
additive,robust,0.8,0.25,2.5,3.125,2,0.0587045220143
additive,robust,0.8,0.25,3,3.75,0,0.0594337702111
additive,robust,0.8,0.25,3,3.75,1,0.0612339583997
additive,robust,0.8,0.25,3,3.75,2,0.0615443188796
additive,robust,0.8,0.3,1,1.25,0,0.0480148013277
additive,robust,0.8,0.3,1,1.25,1,0.0469667320082
additive,robust,0.8,0.3,1,1.25,2,0.0510739188208
additive,robust,0.8,0.3,1.5,1.875,0,0.0537151953508
additive,robust,0.8,0.3,1.5,1.875,1,0.0537053451903
