model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,stage,window_size,rmse
additive,linear,0.4,0.15,1,2.5,1,3,251,0.0204808303953
additive,linear,0.4,0.15,1,2.5,1,4,177,0.0246091065477
additive,linear,0.4,0.15,1,2.5,1,5,125,0.0299432470567
additive,linear,0.4,0.15,1,2.5,1,6,89,0.0311754506481
additive,linear,0.4,0.15,1,2.5,1,7,63,0.0354082417193
additive,linear,0.4,0.15,1,2.5,1,8,45,0.040144528853
additive,linear,0.4,0.15,1,2.5,1,9,31,0.0500382808104
additive,robust,0.4,0.15,1,2.5,1,1,501,0.0180996309075
additive,robust,0.4,0.15,1,2.5,1,2,355,0.0121347600699
additive,robust,0.4,0.15,1,2.5,1,3,251,0.0151307187424
additive,robust,0.4,0.15,1,2.5,1,4,177,0.0182993788082
additive,robust,0.4,0.15,1,2.5,1,5,125,0.0221770030048
additive,robust,0.4,0.15,1,2.5,1,6,89,0.0245967883786
additive,robust,0.4,0.15,1,2.5,1,7,63,0.0285567275464
additive,robust,0.4,0.15,1,2.5,1,8,45,0.0331576979765
additive,robust,0.4,0.15,1,2.5,1,9,31,0.0405937570159
additive,linear,0.4,0.15,1,2.5,2,1,501,0.035424950385
additive,linear,0.4,0.15,1,2.5,2,2,355,0.01617642733
additive,linear,0.4,0.15,1,2.5,2,3,251,0.0202095900147
additive,linear,0.4,0.15,1,2.5,2,4,177,0.0227074115821
additive,linear,0.4,0.15,1,2.5,2,5,125,0.0233352464192
additive,linear,0.4,0.15,1,2.5,2,6,89,0.027200480449
additive,linear,0.4,0.15,1,2.5,2,7,63,0.0327864335573
additive,linear,0.4,0.15,1,2.5,2,8,45,0.0374739955582
additive,linear,0.4,0.15,1,2.5,2,9,31,0.0525962692347
additive,robust,0.4,0.15,1,2.5,2,1,501,0.0313809088013
additive,robust,0.4,0.15,1,2.5,2,2,355,0.0119351815075
additive,robust,0.4,0.15,1,2.5,2,3,251,0.0155410737786
additive,robust,0.4,0.15,1,2.5,2,4,177,0.0177962956559
additive,robust,0.4,0.15,1,2.5,2,5,125,0.0185767928566
additive,robust,0.4,0.15,1,2.5,2,6,89,0.022881217368
additive,robust,0.4,0.15,1,2.5,2,7,63,0.0265269871949
additive,robust,0.4,0.15,1,2.5,2,8,45,0.0283452678053
additive,robust,0.4,0.15,1,2.5,2,9,31,0.038993097532
additive,linear,0.4,0.15,1.5,3.75,0,1,501,0.0435916345762
additive,linear,0.4,0.15,1.5,3.75,0,2,355,0.0319968587898
additive,linear,0.4,0.15,1.5,3.75,0,3,251,0.0323408308543
additive,linear,0.4,0.15,1.5,3.75,0,4,177,0.0305053155507
additive,linear,0.4,0.15,1.5,3.75,0,5,125,0.0378823265851
additive,linear,0.4,0.15,1.5,3.75,0,6,89,0.041492954418
additive,linear,0.4,0.15,1.5,3.75,0,7,63,0.0442866275682
additive,linear,0.4,0.15,1.5,3.75,0,8,45,0.0551334378233
additive,linear,0.4,0.15,1.5,3.75,0,9,31,0.0731392565786
additive,robust,0.4,0.15,1.5,3.75,0,1,501,0.0196854755295
additive,robust,0.4,0.15,1.5,3.75,0,2,355,0.0173203091035
additive,robust,0.4,0.15,1.5,3.75,0,3,251,0.0194091686489
additive,robust,0.4,0.15,1.5,3.75,0,4,177,0.0177356741824
additive,robust,0.4,0.15,1.5,3.75,0,5,125,0.0226177470903
additive,robust,0.4,0.15,1.5,3.75,0,6,89,0.0276398148648
additive,robust,0.4,0.15,1.5,3.75,0,7,63,0.0297788607603
additive,robust,0.4,0.15,1.5,3.75,0,8,45,0.0348044926728
additive,robust,0.4,0.15,1.5,3.75,0,9,31,0.045920953179
additive,linear,0.4,0.15,1.5,3.75,1,1,501,0.0290456409983
additive,linear,0.4,0.15,1.5,3.75,1,2,355,0.0259260128455
additive,linear,0.4,0.15,1.5,3.75,1,3,251,0.0278646190388
additive,linear,0.4,0.15,1.5,3.75,1,4,177,0.0327370546722
additive,linear,0.4,0.15,1.5,3.75,1,5,125,0.0406741969962
additive,linear,0.4,0.15,1.5,3.75,1,6,89,0.0425053649953
additive,linear,0.4,0.15,1.5,3.75,1,7,63,0.0480330917424
additive,linear,0.4,0.15,1.5,3.75,1,8,45,0.0537290652688
additive,linear,0.4,0.15,1.5,3.75,1,9,31,0.0680694880463
additive,robust,0.4,0.15,1.5,3.75,1,1,501,0.0207368321766
additive,robust,0.4,0.15,1.5,3.75,1,2,355,0.0132744922342
additive,robust,0.4,0.15,1.5,3.75,1,3,251,0.0157395829563
additive,robust,0.4,0.15,1.5,3.75,1,4,177,0.0190351404228
additive,robust,0.4,0.15,1.5,3.75,1,5,125,0.023383254392
additive,robust,0.4,0.15,1.5,3.75,1,6,89,0.0263623798143
additive,robust,0.4,0.15,1.5,3.75,1,7,63,0.0307917543129
additive,robust,0.4,0.15,1.5,3.75,1,8,45,0.0360535986139
additive,robust,0.4,0.15,1.5,3.75,1,9,31,0.0450693741824
additive,linear,0.4,0.15,1.5,3.75,2,1,501,0.0383971336858
additive,linear,0.4,0.15,1.5,3.75,2,2,355,0.0221878479581
additive,linear,0.4,0.15,1.5,3.75,2,3,251,0.0279951570012
additive,linear,0.4,0.15,1.5,3.75,2,4,177,0.0313216942186
additive,linear,0.4,0.15,1.5,3.75,2,5,125,0.0322178060845
additive,linear,0.4,0.15,1.5,3.75,2,6,89,0.0352928519719
additive,linear,0.4,0.15,1.5,3.75,2,7,63,0.0424139065735
additive,linear,0.4,0.15,1.5,3.75,2,8,45,0.0512603984274
additive,linear,0.4,0.15,1.5,3.75,2,9,31,0.0724201096869
additive,robust,0.4,0.15,1.5,3.75,2,1,501,0.0334017767671
additive,robust,0.4,0.15,1.5,3.75,2,2,355,0.0135473747542
additive,robust,0.4,0.15,1.5,3.75,2,3,251,0.0176306206675
additive,robust,0.4,0.15,1.5,3.75,2,4,177,0.0197486660021
additive,robust,0.4,0.15,1.5,3.75,2,5,125,0.0203849121793
additive,robust,0.4,0.15,1.5,3.75,2,6,89,0.0245920933649
additive,robust,0.4,0.15,1.5,3.75,2,7,63,0.0282355401466
additive,robust,0.4,0.15,1.5,3.75,2,8,45,0.0308070692696
additive,robust,0.4,0.15,1.5,3.75,2,9,31,0.0434610654909
additive,linear,0.4,0.15,2,5,0,1,501,0.0568888335257
additive,linear,0.4,0.15,2,5,0,2,355,0.0409217118159
additive,linear,0.4,0.15,2,5,0,3,251,0.0409987852662
additive,linear,0.4,0.15,2,5,0,4,177,0.0389333890079
additive,linear,0.4,0.15,2,5,0,5,125,0.0471329052694
additive,linear,0.4,0.15,2,5,0,6,89,0.050841725872
additive,linear,0.4,0.15,2,5,0,7,63,0.0554864372464
additive,linear,0.4,0.15,2,5,0,8,45,0.0698482678911
additive,linear,0.4,0.15,2,5,0,9,31,0.0925260439863
additive,robust,0.4,0.15,2,5,0,1,501,0.019670084204
additive,robust,0.4,0.15,2,5,0,2,355,0.0180625572187
additive,robust,0.4,0.15,2,5,0,3,251,0.0197255705863
additive,robust,0.4,0.15,2,5,0,4,177,0.0179878036269
additive,robust,0.4,0.15,2,5,0,5,125,0.0231750218425
additive,robust,0.4,0.15,2,5,0,6,89,0.0283957412195
additive,robust,0.4,0.15,2,5,0,7,63,0.0307926760863
additive,robust,0.4,0.15,2,5,0,8,45,0.0363700288301
additive,robust,0.4,0.15,2,5,0,9,31,0.0484603308999
additive,linear,0.4,0.15,2,5,1,1,501,0.038401421243
additive,linear,0.4,0.15,2,5,1,2,355,0.0350490064116
additive,linear,0.4,0.15,2,5,1,3,251,0.0358610603746
additive,linear,0.4,0.15,2,5,1,4,177,0.0413461694574
additive,linear,0.4,0.15,2,5,1,5,125,0.0518718231262
additive,linear,0.4,0.15,2,5,1,6,89,0.0544811611437
additive,linear,0.4,0.15,2,5,1,7,63,0.0616218497257
