model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,stage,window_size,rmse
masked,linear,0.4,0.15,1,2.5,0,4,177,0.0267542949123
masked,linear,0.4,0.15,1,2.5,0,5,125,0.0320957351301
masked,linear,0.4,0.15,1,2.5,0,6,89,0.0358467029228
masked,linear,0.4,0.15,1,2.5,0,7,63,0.0382859219759
masked,linear,0.4,0.15,1,2.5,0,8,45,0.044483288113
masked,linear,0.4,0.15,1,2.5,0,9,31,0.05681928558
masked,robust,0.4,0.15,1,2.5,0,1,501,0.0348982731069
masked,robust,0.4,0.15,1,2.5,0,2,355,0.0210962514737
masked,robust,0.4,0.15,1,2.5,0,3,251,0.0199523194774
masked,robust,0.4,0.15,1,2.5,0,4,177,0.0182191830073
masked,robust,0.4,0.15,1,2.5,0,5,125,0.0216367445154
masked,robust,0.4,0.15,1,2.5,0,6,89,0.0267227623836
masked,robust,0.4,0.15,1,2.5,0,7,63,0.0296699974912
masked,robust,0.4,0.15,1,2.5,0,8,45,0.0333610693253
masked,robust,0.4,0.15,1,2.5,0,9,31,0.0429045100242
masked,linear,0.4,0.15,1,2.5,1,1,501,0.0447554407292
masked,linear,0.4,0.15,1,2.5,1,2,355,0.0219965597392
masked,linear,0.4,0.15,1,2.5,1,3,251,0.0224787955368
masked,linear,0.4,0.15,1,2.5,1,4,177,0.0255919532335
masked,linear,0.4,0.15,1,2.5,1,5,125,0.0289490750546
masked,linear,0.4,0.15,1,2.5,1,6,89,0.0297518950458
masked,linear,0.4,0.15,1,2.5,1,7,63,0.0345208895648
masked,linear,0.4,0.15,1,2.5,1,8,45,0.0402959391353
masked,linear,0.4,0.15,1,2.5,1,9,31,0.0504503051499
masked,robust,0.4,0.15,1,2.5,1,1,501,0.0329441626564
masked,robust,0.4,0.15,1,2.5,1,2,355,0.0156859701536
masked,robust,0.4,0.15,1,2.5,1,3,251,0.0164302773601
masked,robust,0.4,0.15,1,2.5,1,4,177,0.0188744363263
masked,robust,0.4,0.15,1,2.5,1,5,125,0.0218356953621
masked,robust,0.4,0.15,1,2.5,1,6,89,0.023558347295
masked,robust,0.4,0.15,1,2.5,1,7,63,0.0280151574018
masked,robust,0.4,0.15,1,2.5,1,8,45,0.0332634364966
masked,robust,0.4,0.15,1,2.5,1,9,31,0.0408281826367
masked,linear,0.4,0.15,1,2.5,2,1,501,0.0274824288674
masked,linear,0.4,0.15,1,2.5,2,2,355,0.0181285550532
masked,linear,0.4,0.15,1,2.5,2,3,251,0.0228811359944
masked,linear,0.4,0.15,1,2.5,2,4,177,0.0244206002148
masked,linear,0.4,0.15,1,2.5,2,5,125,0.0248395650758
masked,linear,0.4,0.15,1,2.5,2,6,89,0.0292797736407
masked,linear,0.4,0.15,1,2.5,2,7,63,0.034988930178
