model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,mean_rmse
masked,robust,0.4,0.2,1,2.5,2,0.0263041354869
masked,robust,0.4,0.2,1.5,3.75,0,0.0298409144894
masked,robust,0.4,0.2,1.5,3.75,1,0.0329845594605
masked,robust,0.4,0.2,1.5,3.75,2,0.0279560042892
masked,robust,0.4,0.2,2,5,0,0.0301642533734
masked,robust,0.4,0.2,2,5,1,0.0341887311654
masked,robust,0.4,0.2,2,5,2,0.0293406290233
masked,robust,0.4,0.2,2.5,6.25,0,0.0306161966642
masked,robust,0.4,0.2,2.5,6.25,1,0.0349898706123
masked,robust,0.4,0.2,2.5,6.25,2,0.0305307247772
masked,robust,0.4,0.2,3,7.5,0,0.0311068135676
masked,robust,0.4,0.2,3,7.5,1,0.035524024743
masked,robust,0.4,0.2,3,7.5,2,0.0316104877158
masked,robust,0.4,0.25,1,2.5,0,0.0333287829015
masked,robust,0.4,0.25,1,2.5,1,0.0319109412285
masked,robust,0.4,0.25,1,2.5,2,0.0291068530381
masked,robust,0.4,0.25,1.5,3.75,0,0.0339535241084
masked,robust,0.4,0.25,1.5,3.75,1,0.0335170990462
masked,robust,0.4,0.25,1.5,3.75,2,0.0306465381246
masked,robust,0.4,0.25,2,5,0,0.0344984777892
masked,robust,0.4,0.25,2,5,1,0.0346825367904
masked,robust,0.4,0.25,2,5,2,0.0320721303964
masked,robust,0.4,0.25,2.5,6.25,0,0.0350333676399
masked,robust,0.4,0.25,2.5,6.25,1,0.0355398842736
masked,robust,0.4,0.25,2.5,6.25,2,0.0333914296766
masked,robust,0.4,0.25,3,7.5,0,0.035531527285
masked,robust,0.4,0.25,3,7.5,1,0.0361540279202
masked,robust,0.4,0.25,3,7.5,2,0.0346137061455
masked,robust,0.4,0.3,1,2.5,0,0.0369068051262
masked,robust,0.4,0.3,1,2.5,1,0.0344406075044
masked,robust,0.4,0.3,1,2.5,2,0.0331481404992
masked,robust,0.4,0.3,1.5,3.75,0,0.0380955541957
masked,robust,0.4,0.3,1.5,3.75,1,0.0364715400032
masked,robust,0.4,0.3,1.5,3.75,2,0.0350140018215
masked,robust,0.4,0.3,2,5,0,0.0388675521604
masked,robust,0.4,0.3,2,5,1,0.0380763274192
masked,robust,0.4,0.3,2,5,2,0.0368354949765
masked,robust,0.4,0.3,2.5,6.25,0,0.0395432852815
masked,robust,0.4,0.3,2.5,6.25,1,0.0393462115098
masked,robust,0.4,0.3,2.5,6.25,2,0.0385928170545
masked,robust,0.4,0.3,3,7.5,0,0.0401806714566
masked,robust,0.4,0.3,3,7.5,1,0.0403219511475
masked,robust,0.4,0.3,3,7.5,2,0.0402385560819
masked,robust,0.6,0.1,1,1.66666666667,0,0.0370142642022
masked,robust,0.6,0.1,1,1.66666666667,1,0.0325204295965
masked,robust,0.6,0.1,1,1.66666666667,2,0.0285628015381
masked,robust,0.6,0.1,1.5,2.5,0,0.0380642030082
masked,robust,0.6,0.1,1.5,2.5,1,0.0343829494295
masked,robust,0.6,0.1,1.5,2.5,2,0.0299413931201
masked,robust,0.6,0.1,2,3.33333333333,0,0.0387011361237
masked,robust,0.6,0.1,2,3.33333333333,1,0.0357065856076
masked,robust,0.6,0.1,2,3.33333333333,2,0.0311381793746
masked,robust,0.6,0.1,2.5,4.16666666667,0,0.0391529607159
masked,robust,0.6,0.1,2.5,4.16666666667,1,0.0366041311117
masked,robust,0.6,0.1,2.5,4.16666666667,2,0.0320311182352
masked,robust,0.6,0.1,3,5,0,0.0395321721468
masked,robust,0.6,0.1,3,5,1,0.0372088825922
masked,robust,0.6,0.1,3,5,2,0.032688469723
masked,robust,0.6,0.15,1,1.66666666667,0,0.0384707350379
masked,robust,0.6,0.15,1,1.66666666667,1,0.0343085969434
masked,robust,0.6,0.15,1,1.66666666667,2,0.0312332750099
masked,robust,0.6,0.15,1.5,2.5,0,0.0394099457622
masked,robust,0.6,0.15,1.5,2.5,1,0.0365116726986
masked,robust,0.6,0.15,1.5,2.5,2,0.03370814976
masked,robust,0.6,0.15,2,3.33333333333,0,0.0399487462455
masked,robust,0.6,0.15,2,3.33333333333,1,0.0381635086497
masked,robust,0.6,0.15,2,3.33333333333,2,0.0358773162238
