t,clean,contaminated,additive_observation,clean_linear_1,additive_linear_1,clean_robust_1,additive_robust_1,masked_observation,masked_linear_1,masked_robust_1
0.857857857858,-0.242499106076,0,0.618770201278,-0.0411540173526,0.097289291421,-0.0412475745104,-0.00296851608823,0.618770201278,0.105905564754,-0.00034024073684
0.858858858859,-0.242562677057,1,13.9025350648,-0.0421768553532,0.0957741303207,-0.0422778846594,-0.00452101698035,14.1450977418,0.104650224401,-0.0017493791067
0.85985985986,-0.239305409457,0,-0.334957146101,-0.0431772631061,0.0929244030735,-0.043285598771,-0.00625492628314,-0.334957146101,0.102037167313,-0.00334034828568
0.860860860861,-0.237622730179,0,-1.09363230704,-0.044155304739,0.0901072207849,-0.0442708203528,-0.00795146914034,-1.09363230704,0.0994567904248,-0.0048940491234
0.861861861862,-0.232795550086,0,-0.252728718457,-0.0451108898946,0.0873957096914,-0.0452334781164,-0.00953506921861,-0.252728718457,0.0969822199737,-0.00633523786297
0.862862862863,-0.228299850167,1,0.251355249977,-0.0460442283529,0.0847092672148,-0.0461737795855,-0.0110905787444,0.479655100145,0.0945328533813,-0.00774835502895
0.863863863864,-0.223569082107,0,-0.322084739985,-0.0469554983267,0.0819996412867,-0.0470919134468,-0.0126775166266,-0.322084739985,0.092038521969,-0.00921890245508
0.864864864865,-0.21737169935,1,-4.9337471297,-0.0478449026549,0.0793222174907,-0.0479880816434,-0.0142279001017,-4.71637543035,0.0895765279306,-0.0106531795968
0.865865865866,-0.211166166733,1,-3.02014046826,-0.048712788605,0.0771199783093,-0.0488626732377,-0.0155985421654,-2.80897430153,0.0875689862324,-0.0119080934786
0.866866866867,-0.203780146579,1,-0.303134195031,-0.0495595088642,0.0752093010681,-0.0497160617729,-0.0167910963052,-0.0993540484521,0.0858328165106,-0.0129868670848
0.867867867868,-0.193134074079,0,-1.49710130817,-0.0503855341267,0.0733295177297,-0.0505487227902,-0.0179484388464,-1.49710130817,0.0841080063643,-0.0140546974771
0.868868868869,-0.179456499529,0,-0.298219413459,-0.0511916523806,0.0715956070547,-0.05136145369,-0.0189637618836,-0.298219413459,0.0825290972915,-0.0149810595621
0.86986986987,-0.162195082083,0,-0.682185313084,-0.0519789462173,0.0698927944984,-0.0521553606695,-0.019943899033,-0.682185313084,0.0809813147476,-0.0158724536741
0.870870870871,-0.143352657101,0,0.707320189334,-0.0527488445181,0.0682582958852,-0.0529318880197,-0.0208462975677,0.707320189334,0.079501874557,-0.016686426386
0.871871871872,-0.123883305722,0,-0.0915162702186,-0.0535029285526,0.0665591394903,-0.0536926760922,-0.0218271909815,-0.0915162702186,0.0779578049949,-0.0175792381303
0.872872872873,-0.103351424892,0,0.886589962108,-0.0542428387683,0.064872259402,-0.0544393991262,-0.0227962076136,0.886589962108,0.0764260401496,-0.0184604418128
0.873873873874,-0.0823267515091,0,-0.0986880126546,-0.0549703155223,0.0631039954457,-0.0551738289528,-0.0238600642176,-0.0986880126546,0.0748129198465,-0.0194369291631
0.874874874875,-0.060613197544,0,1.41293153329,-0.0556871442319,0.0613492584471,-0.0558977839778,-0.0249106930018,1.41293153329,0.0732133549111,-0.0204003900605
0.875875875876,-0.0389246478418,0,-0.296595138329,-0.0563951744392,0.0594633429269,-0.0566131623475,-0.0260940273472,-0.296595138329,0.0714826398646,-0.0214971026289
0.876876876877,-0.0170009031226,0,1.39859734735,-0.0570962524528,0.0576108467469,-0.0573218349332,-0.0272398501442,1.39859734735,0.0697853725683,-0.0225565537994
0.877877877878,0.00575651712003,0,1.06395860768,-0.0577922477531,0.0556292793056,-0.05802573998,-0.0285165815765,1.06395860768,0.0679590624209,-0.0237474840368
0.878878878879,0.0280380719474,1,1.4884593093,-0.0584851117061,0.0535508593434,-0.0587268753602,-0.0299010271704,1.46042123736,0.0660358720375,-0.025046631298
0.87987987988,0.0508030397851,0,1.03432489746,-0.0591767532312,0.0513350345782,-0.0594271893363,-0.0314206714769,1.03432489746,0.063977884644,-0.0264801671915
0.880880880881,0.0713410582886,0,0.639826092511,-0.0598691318304,0.049025541234,-0.0601286711215,-0.0330448218305,0.639826092511,0.0618261448309,-0.0280188116915
0.881881881882,0.0932905298865,0,-0.0144143353627,-0.0605639979499,0.0466602603429,-0.0608331022017,-0.0347375095348,-0.0144143353627,0.059618477784,-0.0296265507171
0.882882882883,0.114682847952,0,-0.39554764753,-0.0612632421908,0.0443019912653,-0.0615423933222,-0.0364249569906,-0.39554764753,0.0574175740823,-0.0312295887413
0.883883883884,0.133941721501,0,0.564829248047,-0.0619687063005,0.0419873889949,-0.0622583991895,-0.0380625788194,0.564829248047,0.055260035785,-0.0327834091405
0.884884884885,0.150917751459,0,1.48167032723,-0.0626820318802,0.0396243762799,-0.0629828013248,-0.03976090405,1.48167032723,0.0530537856402,-0.0343986735743
0.885885885886,0.163286622656,0,-0.132493474705,-0.0634046458222,0.0371251063452,-0.0637170399296,-0.041592687722,-0.132493474705,0.0507109768726,-0.0361483509419
0.886886886887,0.168373554595,0,0.595712295408,-0.0641375371662,0.0346447334039,-0.0644621031827,-0.0434047665662,0.595712295408,0.0483867636956,-0.0378788658752
0.887887887888,0.166420556207,0,-0.161617979676,-0.0648810002792,0.0321133441687,-0.0652182842945,-0.0452801691638,-0.161617979676,0.0460112328219,-0.0396734402788
0.888888888889,0.157485201382,0,-0.419882334561,-0.0656346580517,0.0296036222524,-0.0659852138468,-0.0471325315287,-0.419882334561,0.0436570678641,-0.0414455513407
0.88988988989,0.142008585445,0,0.283046275288,-0.0663974679453,0.0271406105666,-0.0667618358498,-0.0489319011933,0.283046275288,0.0413493117338,-0.0431652858043
0.890890890891,0.123586057908,0,-1.24920942977,-0.0671677646005,0.0246569525268,-0.0675465192572,-0.050760331575,-1.24920942977,0.0390206078467,-0.0449147056915
0.891891891892,0.103289725924,0,-0.0186031025812,-0.0679436048644,0.0222999030036,-0.0683373338259,-0.052457061939,-0.0186031025812,0.0368182110732,-0.0465332188935
0.892892892893,0.0858636035426,0,-0.0474647674116,-0.0687228705853,0.0199520611024,-0.0691321530527,-0.0541470383625,-0.0474647674116,0.0346246810027,-0.0481456297121
0.893893893894,0.0708925813641,0,-0.0697039361219,-0.0695037235309,0.0176169129487,-0.06992912664,-0.0558265176622,-0.0697039361219,0.0324434642444,-0.0497480755117
0.894894894895,0.0591804476362,1,-0.105254319539,-0.0702845656829,0.0152967865748,-0.0707266495341,-0.0574928126785,-0.164434767175,0.0302768438196,-0.0513378906911
0.895895895896,0.0471188556994,1,2.17299334327,-0.0710641164655,0.0129953071762,-0.0715234139715,-0.0591416310414,2.12587448757,0.02813408119,-0.0529039133471
0.896896896897,0.0349358155888,0,-0.828094154858,-0.0718410663752,0.0104940635043,-0.0723181354417,-0.0609449071417,-0.828094154858,0.0257956072034,-0.0546246194864
0.897897897898,0.0218468953135,0,0.223481525499,-0.0726140993033,0.00808127534238,-0.07310950112,-0.062650364431,0.223481525499,0.0235451182692,-0.056248170603
0.898898898899,0.00594827616103,0,0.292836023333,-0.0733818177815,0.00565610047834,-0.0738960946626,-0.0643762761963,0.292836023333,0.0212817721752,-0.0578929110323
0.8998998999,-0.0139165294194,0,-0.0163009405376,-0.0741425608484,0.00321284162842,-0.0746762348487,-0.0661303117175,-0.0163009405376,0.0189998443409,-0.0595664411336
0.900900900901,-0.0371940877099,1,-1.79984561912,-0.0748942933862,0.00078203571317,-0.0754478594477,-0.0678764895078,-1.76265153141,0.0167298443898,-0.061232659111
